Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,TerminalDegree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered,Offered1
Admission Fee Challan Received,777,Bahawalpur,male,Punjab,57,0,761,725,131,129,115,39,118,1,0,1,Yes
Application Fee Received,790,Bahawalpur,male,Punjab,54,0,612,741,119,153,134,132,0,1,0,1,Yes
Admission Fee Challan Received,825,Bahawalpur,male,Punjab,62,10,793,753,143,144,121,38,129,1,0,1,Yes
Challan Printed,778,Bahawalpur,female,Punjab,50,0,721,733,140,129,37,161,1,0,0,0,No
Admission Fee Challan Received,648,Bahawalpur,male,Punjab,50,0,734,603,104,99,100,124,32,1,0,1,Yes
Application Fee Received,765,Bahawalpur,male,Punjab,63,0,744,707,120,136,117,111,0,1,0,1,Yes
Application Fee Received,557,Bahawalpur,male,Punjab,42,0,644,520,59,29,24,73,87,0,0,0,No
Admission Fee Challan Received,795,Bahawalpur,female,Punjab,45,0,821,755,161,142,44,141,41,1,0,1,Yes
Admission Fee Challan Received,886,Bahawalpur,male,Punjab,51,0,747,825,143,151,155,138,43,1,0,1,Yes
Challan Printed,532,Bahawalpur,male,Punjab,50,0,759,487,61,71,80,41,87,0,0,0,No
Challan Printed,781,Bahawalpur,female,Punjab,59,0,802,727,146,170,102,37,116,0,0,0,No
Admission Fee Challan Received,656,Bahawalpur,male,Punjab,45,0,629,616,107,115,99,118,40,1,0,1,Yes
Challan Printed,683,Bahawalpur,male,Punjab,76,0,718,617,97,120,42,107,43,0,0,0,No
Application Fee Received,789,Bahawalpur,male,Punjab,54,0,784,740,138,120,121,0,145,0,0,0,No
Application Fee Received,584,Bahawalpur,male,Punjab,42,0,730,552,82,34,86,100,93,1,0,0,No
Admission Fee Challan Received,968,OPEN,male,Punjab,68,0,949,905,156,152,173,43,167,1,0,1,Yes
Admission Fee Challan Received,604,Bahawalpur,female,Punjab,40,0,625,569,120,36,40,100,70,1,0,1,Yes
Application Fee Received,916,Bahawalpur,male,Punjab,55,0,874,846,176,44,148,45,152,0,0,0,No
Admission Fee Challan Received,976,Bahawalpur,male,Punjab,77,61,771,909,162,169,161,46,177,1,0,1,Yes
Application Fee Received,638,Bahawalpur,male,Punjab,40,0,517,603,105,110,127,80,41,0,0,0,No
Challan Printed,879,Bahawalpur,female,Punjab,47,0,806,837,160,150,134,171,42,0,0,0,No
Application Fee Received,681,Bahawalpur,male,Punjab,40,0,863,646,120,41,35,112,111,0,0,0,No
Application Fee Received,563,Bahawalpur,male,Punjab,43,0,581,520,93,82,72,38,98,0,0,0,No
Admission Fee Challan Received,704,Bahawalpur,male,Punjab,42,0,655,667,111,41,36,104,113,1,0,1,Yes
Admission Fee Challan Received,687,Bahawalpur,male,Punjab,57,0,738,635,102,98,113,99,44,1,0,1,Yes
Application Fee Received,808,Bahawalpur,female,Punjab,41,0,672,772,166,150,103,152,0,1,0,1,Yes
Application Fee Received,639,Bahawalpur,male,Punjab,44,0,563,600,86,101,109,117,37,0,0,0,No
Admission Fee Challan Received,723,Bahawalpur,male,Punjab,44,0,881,684,130,143,37,105,44,1,0,1,Yes
Admission Fee Challan Received,798,Bahawalpur,male,Punjab,52,0,859,751,134,38,39,150,126,1,0,1,Yes
Admission Fee Challan Received,706,Bahawalpur,male,Punjab,49,0,830,662,150,99,109,0,95,1,0,1,Yes
Admission Fee Challan Received,986,Bahawalpur,female,Punjab,78,78,779,926,154,174,175,44,184,1,0,1,Yes
Challan Printed,747,Bahawalpur,male,Punjab,64,0,776,648,105,96,40,117,42,0,0,0,No
Challan Printed,766,Bahawalpur,male,Punjab,33,0,747,738,131,117,118,45,38,0,0,0,No
Application Fee Received,969,Bahawalpur,female,Punjab,82,82,887,974,166,48,46,187,193,1,0,0,No
Admission Fee Challan Received,874,Bahawalpur,female,Punjab,53,53,763,836,138,42,158,44,158,1,0,1,Yes
Application Fee Received,592,Bahawalpur,male,Punjab,60,0,616,537,0,0,0,0,0,0,0,0,No
Application Fee Received,696,Bahawalpur,male,Punjab,54,0,748,647,124,124,99,104,32,0,0,0,No
Application Fee Received,722,Bahawalpur,male,Punjab,44,0,825,683,113,110,121,129,0,0,0,0,No
Admission Fee Challan Received,731,Bahawalpur,male,Punjab,49,0,895,687,112,89,131,148,43,1,0,1,Yes
Admission Fee Challan Received,693,Bahawalpur,male,Punjab,57,0,704,641,121,114,76,44,119,1,0,1,Yes
Application Fee Received,744,Bahawalpur,male,Punjab,46,0,646,703,140,41,122,130,122,0,0,0,No
Application Fee Received,794,Bahawalpur,male,Punjab,50,0,781,749,138,160,122,122,30,0,0,0,No
Admission Fee Challan Received,687,Bahawalpur,male,Punjab,44,0,770,648,149,79,131,41,90,1,0,0,No
Application Fee Received,537,Bahawalpur,male,Punjab,31,0,680,511,107,32,29,103,73,1,0,0,No
Challan Printed,686,Bahawalpur,male,Punjab,36,0,757,660,112,134,84,44,103,0,0,0,No
Admission Fee Challan Received,666,Bahawalpur,male,Punjab,44,0,883,607,43,44,87,106,96,1,0,1,Yes
Application Fee Received,1015,Bahawalpur,male,Punjab,63,0,909,957,125,137,129,133,135,1,0,1,Yes
Admission Fee Challan Received,713,Bahawalpur,male,Punjab,48,0,726,670,118,108,129,130,31,1,0,1,Yes
Application Fee Received,665,Bahawalpur,female,Punjab,29,0,643,641,117,135,103,24,113,0,0,0,No
Challan Printed,736,Bahawalpur,male,Punjab,38,0,709,683,149,45,45,101,131,0,0,0,No
Application Fee Received,809,Bahawalpur,male,Punjab,44,0,725,775,135,140,157,149,42,0,0,0,No
Application Fee Received,640,Bahawalpur,male,Punjab,51,10,592,594,88,96,134,34,90,0,0,0,No
Challan Printed,861,Bahawalpur,male,Punjab,57,0,873,809,152,154,147,44,134,0,0,0,No
Admission Fee Challan Received,657,Bahawalpur,male,Punjab,42,0,654,620,128,99,102,102,0,1,0,1,Yes
Challan Printed,632,Bahawalpur,male,Punjab,54,0,553,583,67,36,23,132,126,0,0,0,No
Application Fee Received,850,Bahawalpur,female,Punjab,48,0,907,807,157,149,168,34,141,1,0,1,Yes
Admission Fee Challan Received,747,Bahawalpur,male,Punjab,49,0,763,708,132,106,117,43,127,1,0,1,Yes
Application Fee Received,1004,Bahawalpur,female,Punjab,68,0,885,941,176,168,185,43,172,1,0,1,Yes
Application Fee Received,765,Bahawalpur,female,Punjab,47,0,725,723,132,117,125,122,0,0,0,0,No
Admission Fee Challan Received,852,Bahawalpur,male,Punjab,49,0,844,808,0,0,0,0,0,1,0,1,Yes
Application Fee Received,756,OPEN,male,Punjab,38,0,629,723,107,108,124,44,46,0,0,0,No
Application Fee Received,619,Bahawalpur,male,Punjab,41,0,748,583,70,87,148,0,98,0,0,0,No
Admission Fee Challan Received,911,Bahawalpur,female,Punjab,42,0,817,874,164,154,173,156,0,1,0,1,Yes
Admission Fee Challan Received,671,Bahawalpur,female,Punjab,47,0,732,629,109,115,101,134,41,1,0,1,Yes
Application Fee Received,704,Bahawalpur,female,Punjab,40,0,859,669,137,115,116,116,32,0,0,0,No
Application Fee Received,612,Bahawalpur,female,Punjab,50,0,664,567,110,75,110,87,35,0,0,0,No
Application Fee Received,706,Bahawalpur,female,Punjab,47,0,759,664,119,34,138,111,111,0,0,0,No
Application Fee Received,589,Bahawalpur,male,Punjab,42,0,631,552,75,95,106,101,36,0,0,0,No
Admission Fee Challan Received,716,Bahawalpur,male,Punjab,50,0,641,671,110,128,120,41,100,1,0,1,Yes
Challan Printed,835,Bahawalpur,female,Punjab,47,0,819,798,139,158,138,45,140,0,0,0,No
Admission Fee Challan Received,678,Bahawalpur,female,Punjab,43,0,712,640,113,113,111,105,42,1,0,1,Yes
Challan Printed,665,Bahawalpur,male,Punjab,48,0,729,622,44,75,44,118,137,0,0,0,No
Application Fee Received,893,Bahawalpur,female,Punjab,67,59,860,836,0,0,0,0,0,1,0,1,Yes
Application Fee Received,733,Bahawalpur,male,Punjab,37,0,645,701,134,129,123,0,111,0,0,0,No
Application Fee Received,789,Bahawalpur,female,Punjab,40,0,838,754,138,112,138,159,42,0,0,0,No
Admission Fee Challan Received,673,Bahawalpur,male,Punjab,41,0,683,622,148,80,59,120,40,1,0,1,Yes
Application Fee Received,623,Bahawalpur,female,Punjab,45,16,617,583,87,31,89,44,142,0,0,0,No
Application Fee Received,697,Bahawalpur,female,Punjab,45,0,749,657,111,110,104,40,130,1,0,0,No
Admission Fee Challan Received,825,Bahawalpur,female,Punjab,48,0,718,782,155,139,135,39,141,1,0,1,Yes
Application Fee Received,761,Bahawalpur,male,Punjab,55,0,835,711,113,41,40,143,114,1,0,1,Yes
Admission Fee Challan Received,863,Bahawalpur,female,Punjab,52,0,837,816,0,0,0,0,0,1,0,1,Yes
Admission Fee Challan Printed,667,Bahawalpur,female,Punjab,41,0,788,631,112,117,106,106,0,0,0,0,No
Application Fee Received,917,Bahawalpur,male,Punjab,77,77,929,849,164,156,152,153,48,0,0,0,No
Application Fee Received,703,Bahawalpur,female,Punjab,47,0,737,661,108,106,106,123,44,0,0,0,No
Challan Printed,657,Bahawalpur,male,Punjab,50,0,696,612,134,102,42,30,75,0,0,0,No
Admission Fee Challan Received,699,Bahawalpur,male,Punjab,56,0,696,648,106,128,90,41,113,1,0,1,Yes
Admission Fee Challan Received,839,Bahawalpur,male,Punjab,63,0,842,781,148,124,152,39,153,1,0,1,Yes
Challan Printed,616,Bahawalpur,male,Punjab,47,0,683,574,85,82,122,85,35,0,0,0,No
Admission Fee Challan Received,663,Bahawalpur,male,Punjab,47,0,846,621,116,95,94,109,0,1,0,1,Yes
Application Fee Received,957,Bahawalpur,male,Punjab,79,79,851,890,178,156,139,0,174,0,0,0,No
Application Fee Received,785,Bahawalpur,male,Punjab,49,0,733,741,150,127,94,160,44,0,0,0,No
Challan Printed,853,Bahawalpur,male,Punjab,46,0,899,817,141,159,137,160,0,0,0,0,No
Application Fee Received,1010,Bahawalpur,male,Punjab,58,0,979,957,163,176,178,195,49,0,0,0,No
Admission Fee Challan Received,909,Bahawalpur,female,Punjab,49,0,793,865,168,147,38,154,41,1,0,1,Yes
Application Fee Received,871,Bahawalpur,male,Punjab,53,0,930,823,146,149,129,177,0,0,0,0,No
Application Fee Received,890,Bahawalpur,female,Punjab,48,0,923,847,173,136,150,150,0,0,0,0,No
